loc_id,ship-state,ship-city,ship-postal-code
0,UNKNOWN,UNKNOWN,UNKNOWN
1,KARNATAKA,BENGALURU,560085
2,MAHARASHTRA,NAVI MUMBAI,410210
3,TAMIL NADU,CHENNAI,600073
4,UTTAR PRADESH,GHAZIABAD,201102
5,CHANDIGARH,CHANDIGARH,160036
6,TELANGANA,HYDERABAD,500032
7,TELANGANA,HYDERABAD,500008
8,TAMIL NADU,CHENNAI,600041
9,UTTAR PRADESH,NOIDA,201303
10,MAHARASHTRA,AMRAVATI.,444606
11,MAHARASHTRA,MUMBAI,400053
12,ANDHRA PRADESH,GUNTAKAL,515801
13,RAJASTHAN,JAIPUR,302020
14,DELHI,NEW DELHI,110074
15,HARYANA,GURGAON,122004
16,KARNATAKA,BENGALURU,560017
17,TAMIL NADU,TIRUCHIRAPPALLI,620018
18,KARNATAKA,BENGALURU,560040
19,TELANGANA,HYDERABAD,500072
20,ASSAM,TEZPUR,784001
21,JHARKHAND,RANCHI,834002
22,CHHATTISGARH,BILASPUR,495001
23,MAHARASHTRA,PUNE,411052
24,KARNATAKA,BENGALURU,560037
25,TAMIL NADU,THIRUVARUR,613704
26,UTTAR PRADESH,LUCKNOW,226010
27,ANDHRA PRADESH,VISAKHAPATNAM,530016
28,ODISHA,JEYPUR,764001
29,TELANGANA,HYDERABAD,500028
30,UTTAR PRADESH,LUCKNOW,226016
31,TAMIL NADU,CHENNAI,600033
32,DELHI,NEW DELHI,110092
33,KERALA,THIRUVANANTHAPURAM,695011
34,UTTAR PRADESH,GREATER NOIDA,201306
35,MADHYA PRADESH,JABALPUR,482002
36,MAHARASHTRA,MUMBAI,400092
37,UTTAR PRADESH,LUCKNOW,226017
38,MAHARASHTRA,MUMBAI,400076
39,WEST BENGAL,KOLKATA,700014
40,ANDHRA PRADESH,ONGOLE,523001
41,TELANGANA,SECUNDERABAD,500017
42,TELANGANA,HYDERABAD,500062
43,UTTAR PRADESH,KEWALPUR,271881
44,ODISHA,CUTTACK,753012
45,MAHARASHTRA,BADLAPUR,421503
46,NAGALAND,DIMAPUR,797112
47,KARNATAKA,BENGALURU,560047
48,KARNATAKA,BENGALURU,560076
49,TELANGANA,WARANGAL,506001
50,RAJASTHAN,DHAULPUR,328024
51,ASSAM,GUWAHATI,781029
52,KARNATAKA,BENGALURU,560103
53,KARNATAKA,BENGALURU,560023
54,MAHARASHTRA,NAGPUR,440022
55,MAHARASHTRA,THANE,400607
56,GUJARAT,DAHOD,389151
57,JHARKHAND,RANCHI,834004
58,MAHARASHTRA,PUNE,411014
59,KARNATAKA,VIJAPURA,586201
60,MAHARASHTRA,MUMBAI,400080
61,KARNATAKA,BANGALORE,560001
62,KARNATAKA,BENGALURU,560098
63,ODISHA,BERHAMPUR,760002
64,TELANGANA,HYDERABAD,500085
65,MAHARASHTRA,PUNE,411045
66,GUJARAT,HIMMATNAGAR,383001
67,WEST BENGAL,KOLKATA,700048
68,TELANGANA,HYDERABAD,502032
69,WEST BENGAL,KOLKATA,700078
70,TAMIL NADU,DHARMAPURI,636705
71,UTTARAKHAND,DEHRADUN,248005
72,RAJASTHAN,JAIPUR,303905
73,GUJARAT,VADODARA,390019
74,KERALA,CHAVAKKAD,680506
75,BIHAR,PATNA,800026
76,TAMIL NADU,CHENNAI,600028
77,GUJARAT,VADODARA,390018
78,GUJARAT,VADODARA,390003
79,MAHARASHTRA,PUNE,411046
80,JAMMU & KASHMIR,JAMMU,180011
81,KARNATAKA,BANGALORE,560026
82,DELHI,NEW DELHI,110036
83,HARYANA,NARNAUND,125039
84,GUJARAT,AHMEDABAD,380051
85,MAHARASHTRA,AMBARNATH,421502
86,MADHYA PRADESH,GWALIOR,474005
87,DELHI,NEW DELHI,110078
88,HARYANA,ROHTAK,124001
89,WEST BENGAL,KOLKATA,700156
90,DELHI,NEW DELHI,110034
91,TELANGANA,HYDERABAD,500054
92,BIHAR,PATNA,800002
93,TELANGANA,RAMAGUNDAM,505211
94,UTTARAKHAND,PITHORAGARH,262501
95,WEST BENGAL,KOLKATA,700057
96,MAHARASHTRA,MUMBAI,400101
97,TELANGANA,HYDERABAD,500053
98,ASSAM,"GUWAHATI, KAMRUP (M)",781014
99,KARNATAKA,KOLAR,563101
100,PUNJAB,PATIALA,147001
101,MADHYA PRADESH,REWA,486001
102,ASSAM,BONGAIGAON,783380
103,TELANGANA,HYDERABAD,500087
104,KARNATAKA,BENGALURU,560055
105,TAMIL NADU,CHENGALPATTU,603002
106,TAMIL NADU,PERAMBALUR,621212
107,HIMACHAL PRADESH,BILASPUR,174001
108,TAMIL NADU,CHENNAI,600099
109,UTTAR PRADESH,VARANASI,221010
110,KARNATAKA,BENGALURU,560036
111,TAMIL NADU,COIMBATORE,641035
112,CHHATTISGARH,CHIRMIRI,497449
113,UTTAR PRADESH,AZAMGARH,276302
114,MAHARASHTRA,KALYAN,421306
115,DELHI,NEW DELHI,110016
116,ASSAM,GUWAHATI,781026
117,KARNATAKA,MYSORE,570008
118,UTTAR PRADESH,BARABANKI,225001
119,UTTAR PRADESH,AMILA,275301
120,ANDHRA PRADESH,VIJAYAWADA,520010
121,CHHATTISGARH,RAWAN AMBUJA CEMENT PLANT,493331
122,UTTARAKHAND,HERBERTPUR,248142
123,KARNATAKA,BENGALURU,560048
124,KERALA,KALAMASSERY,682021
125,ODISHA,PURI-2,752002
126,ODISHA,TIKABALI,762010
127,BIHAR,BIHARSHARIF,803115
128,TELANGANA,HYDERABAD,500075
129,KERALA,PARAVUR,683513
130,UTTAR PRADESH,BASTI,272001
131,TAMIL NADU,WALAJAPET,632513
132,KARNATAKA,BENGALURU,560029
133,HARYANA,MAHENDRAGARH,123027
134,TELANGANA,HYDERABAD,500086
135,DELHI,NEW DELHI,110019
136,HARYANA,GURUGRAM,122002
137,KARNATAKA,BENGALURU,560022
138,MAHARASHTRA,MUMBAI,400069
139,UTTAR PRADESH,BIJNOR,246722
140,MAHARASHTRA,MUMBAI,400078
141,UTTAR PRADESH,ALLAHABAD,211001
142,MAHARASHTRA,VASAI VIRAR,401202
143,UTTAR PRADESH,BIJNOR,246701
144,TELANGANA,HYDERABAD,500090
145,KARNATAKA,BENGALURU,560075
146,KARNATAKA,MANGALURU,575001
147,TELANGANA,HYDERABAD,500034
148,WEST BENGAL,NEW TOWN,700059
149,MAHARASHTRA,MUMBAI,400016
150,UTTAR PRADESH,SAMBHAL,244302
151,MAHARASHTRA,NAGPUR,441002
152,TAMIL NADU,ELAVANASURKOTTAI,607202
153,MAHARASHTRA,SANGLI MIRAJ KUPWAD,416410
154,KARNATAKA,MYSURU,570016
155,GUJARAT,ANKLESHWR,393002
156,TAMIL NADU,CHENNAI,600117
157,UTTAR PRADESH,GREATER NOIDA WEST,201009
158,JAMMU & KASHMIR,JAMMU,180007
159,ARUNACHAL PRADESH,ITANAGAR,791113
160,WEST BENGAL,KOLKATA,700075
161,MAHARASHTRA,KARANJA,444105
162,RAJASTHAN,NIMBAHERA,312620
163,MANIPUR,IMPHAL EAST,795010
164,WEST BENGAL,BIDHAN NAGAR,700064
165,KARNATAKA,BENGALURU,560064
166,GUJARAT,AHMEDABAD,380015
167,TAMIL NADU,TIRUCHIRAPPALLI,620001
168,ODISHA,BHUBANESWAR,752054
169,UTTAR PRADESH,ALIGARH,202001
170,KERALA,KOCHI,682006
171,UTTAR PRADESH,GHAZIABAD,201014
172,MAHARASHTRA,PUNE,412207
173,KARNATAKA,BANGALORE,560016
174,KERALA,MALAPPURAM,676517
175,UTTAR PRADESH,NOIDA,201301
176,UTTAR PRADESH,GREATER NOIDA,201308
177,BIHAR,PATNA,800023
178,ASSAM,SIBSAGAR,785674
179,BIHAR,GAYA,823001
180,KARNATAKA,BENGALURU,560083
181,KERALA,KOLLAM,691522
182,KERALA,PERALASSERI,670622
183,KARNATAKA,BENGALURU,560102
184,KARNATAKA,BENGALURU,560100
185,KARNATAKA,UDUPI,576104
186,ASSAM,MARIANI,785634
187,DELHI,NEW DELHI,110075
188,KARNATAKA,MANGALURU,575006
189,GUJARAT,AHMEDABAD,380022
190,WEST BENGAL,KOLKATA,700051
191,WEST BENGAL,COOCH BEHAR,736101
192,MAHARASHTRA,PUNE,411037
193,UTTARAKHAND,DEHRADUN,248009
194,WEST BENGAL,KOLKATA,700070
195,TELANGANA,SECUNDERABAD,500010
196,RAJASTHAN,UDAIPUR,313001
197,TAMIL NADU,COIMBATORE,641030
198,ODISHA,BHUBANESWAR,751006
199,BIHAR,BHAGALPUR,812003
200,MAHARASHTRA,NAGPUR,440036
201,TAMIL NADU,CHENNAI,600096
