product_id,SKU,Style,Category,Size,ASIN
1,JNE3781-KR-XXXL,JNE3781,kurta,3XL,B09K3WFS32
2,JNE3371-KR-XL,JNE3371,kurta,XL,B07WV4JV4D
3,JNE3671-TU-XXXL,JNE3671,Top,3XL,B098714BZP
4,SET264-KR-NP-XL,SET264,Set,XL,B08YN7XDSG
5,J0095-SET-L,J0095,Set,L,B08CMHNWBN
6,JNE3405-KR-S,JNE3405,kurta,S,B081WX4G4Q
7,SET200-KR-NP-A-XXXL,SET200,Set,3XL,B08L91ZZXN
8,JNE3461-KR-XXL,JNE3461,kurta,XXL,B08B3XF5MH
9,JNE3160-KR-G-S,JNE3160,kurta,S,B07K3YQLF1
10,JNE3500-KR-XS,JNE3500,kurta,XS,B098117DJ3
11,JNE3405-KR-XS,JNE3405,kurta,XS,B081XCMYXJ
12,SET182-KR-DH-XS,SET182,Set,XS,B085HS947T
13,J0351-SET-L,J0351,Set,L,B09CSSQY4F
14,PJNE3368-KR-6XL,PJNE3368,kurta,6XL,B09PY99SVJ
15,JNE3721-KR-XXL,JNE3721,kurta,XXL,B099FCT65D
16,JNE3405-KR-XL,JNE3405,kurta,XL,B081WT6GG7
17,JNE3697-KR-XXL,JNE3697,kurta,XXL,B098133PV5
18,SET254-KR-NP-XS,SET254,Set,XS,B0983DDPL6
19,JNE3795-KR-XXXL,JNE3795,kurta,3XL,B09HMXJVFS
20,SET345-KR-NP-M,SET345,Set,M,B09KXV4BN8
21,JNE3373-KR-L,JNE3373,kurta,L,B082W7GVH7
22,MEN5002-KR-L,MEN5002,kurta,L,B08YYYDN9R
23,NW030-TP-PJ-XS,NW030,Set,XS,B09G2RQSRZ
24,JNE3415-KR-XXXL,JNE3415,kurta,3XL,B082W8JXJ9
25,PJNE2199-KR-N-4XL,PJNE2199,kurta,4XL,B09LD2W9XL
26,JNE3567-KR-M,JNE3567,kurta,M,B08KRXV1QR
27,J0341-DR-S,J0341,Western Dress,S,B099NR7612
28,MEN5009-KR-XL,MEN5009,kurta,XL,B08YYTCPYX
29,J0011-LCD-M,J0011,Set,M,B08B3YNJG5
30,JNE3766-KR-M,JNE3766,kurta,M,B09K3XR43V
31,JNE3373-KR-XL,JNE3373,kurta,XL,B082W8BXW1
32,MEN5001-KR-XL,MEN5001,kurta,XL,B08YYRH2Q6
33,SET345-KR-NP-L,SET345,Set,L,B09KXT4VG7
34,JNE3787-KR-S,JNE3787,kurta,S,B09RKBXM5B
35,JNE3543-KR-S,JNE3543,kurta,S,B08HHJP41L
36,JNE3405-KR-L,JNE3405,kurta,L,B081WSCKPQ
37,J0211-DR-XXL,J0211,Ethnic Dress,XXL,B09831VWD9
38,J0401-DR-XXXL,J0401,Western Dress,3XL,B09SDXZBGX
39,JNE2153-KR-278-A-M,JNE2153,kurta,M,B0794YR85H
40,SET360-KR-NP-M,SET360,Set,M,B09QJM1D7F
41,SET268-KR-NP-L,SET268,Set,L,B08XQ8MCKP
42,SET183-KR-DH-S,SET183,Set,S,B08B3Z38TJ
43,J0230-SKD-L,J0230,Set,L,B08XNDL1DL
44,JNE3744-TU-S,JNE3744,Top,S,B0986ZHR9D
45,JNE3510-KR-S,JNE3510,kurta,S,B08WPTJBBD
46,JNE3405-KR-M,JNE3405,kurta,M,B081WVMMCY
47,J0186-SET-S,J0186,Set,S,B091Z81MLX
48,J0003-SET-M,J0003,Set,M,B0894XH3LN
49,SET282-KR-PP-M,SET282,Set,M,B09CTCDDQ4
50,JNE1407-BLACK-KR-UDF18-XL,JNE1407,kurta,XL,B01M4IAS51
51,J0301-TP-L,J0301,Top,L,B099S6795L
52,JNE3869-DR-S,JNE3869,Western Dress,S,B09RK67Y51
53,SET324-KR-NP-XS,SET324,Set,XS,B09NQ4DD29
54,SET279-LC-S,SET279,Set,S,B09CT6L67S
55,JNE2014-KR-178-XXL,JNE2014,kurta,XXL,B077MF72BK
56,NW005-ST-PJ-XL,NW005,Set,XL,B0922WJ27J
